file_name,n,l,time,coverage_abs,coverage_percent
10.500+200.txt,509,10,0.704,464,66.29
10.500+50.txt,509,10,0.481,411,74.73
10.500-100.txt,509,10,0.321,394,98.5
10.500-200.txt,509,10,0.193,294,98.0
113.500-8.txt,509,10,0.484,487,98.98
144.500-12.txt,509,10,0.459,482,98.77
18.200+20.txt,209,10,0.073,150,68.18
18.200+80.txt,209,10,0.092,179,63.93
18.200-40.txt,209,10,0.051,155,96.88
18.200-80.txt,209,10,0.047,113,94.17
20.300+120.txt,309,10,0.262,285,67.86
20.300+30.txt,309,10,0.174,264,80.0
20.300-120.txt,309,10,0.087,173,96.11
20.300-60.txt,309,10,0.141,235,97.92
25.500+200.txt,509,10,0.639,490,70.0
25.500+50.txt,509,10,0.487,419,76.18
25.500-100.txt,509,10,0.316,392,98.0
25.500-200.txt,509,10,0.203,291,97.0
28.500-18.txt,509,10,0.486,474,98.34
34.500-32.txt,509,10,0.446,464,99.15
35.200+20.txt,209,10,0.074,172,78.18
35.200+80.txt,209,10,0.088,200,71.43
35.200-40.txt,209,10,0.048,157,98.12
35.200-80.txt,209,10,0.05,119,99.17
53.500+200.txt,509,10,0.688,500,71.43
53.500+50.txt,509,10,0.804,433,78.73
53.500-100.txt,509,10,0.454,391,97.75
53.500-200.txt,509,10,0.3,292,97.33
55.300+120.txt,309,10,0.3,300,71.43
55.300+30.txt,309,10,0.251,264,80.0
55.300-120.txt,309,10,0.102,173,96.11
55.300-60.txt,309,10,0.112,233,97.08
55.400+160.txt,409,10,0.512,390,69.64
55.400+40.txt,409,10,0.404,322,73.18
55.400-160.txt,409,10,0.129,217,90.42
55.400-80.txt,409,10,0.301,308,96.25
58.300+120.txt,309,10,0.277,300,71.43
58.300+30.txt,309,10,0.156,243,73.64
58.300-120.txt,309,10,0.105,178,98.89
58.300-60.txt,309,10,0.172,230,95.83
59.500-2.txt,509,10,0.649,485,97.39
62.400+160.txt,409,10,0.583,400,71.43
62.400+40.txt,409,10,0.452,340,77.27
62.400-160.txt,409,10,0.187,230,95.83
62.400-80.txt,409,10,0.418,309,96.56
68.400+160.txt,409,10,0.653,392,70.0
68.400+40.txt,409,10,0.467,337,76.59
68.400-160.txt,409,10,0.169,229,95.42
68.400-80.txt,409,10,0.237,309,96.56
9.200+20.txt,209,10,0.073,158,71.82
9.200+80.txt,209,10,0.09,200,71.43
9.200-40.txt,209,10,0.051,160,100.0
9.200-80.txt,209,10,0.048,120,100.0
